Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Katmai,NPRES,NPS,AK,,https://www.nps.gov/katm/
,,Kenai Fjords,NP,NPS,AK,,https://www.nps.gov/kefj/
,,Kennesaw Mountain,NBP,NPS,GA,,https://www.nps.gov/kemo/
,,Keweenaw,NHP,NPS,MI,,https://www.nps.gov/kewe/
,,King Range,NCA,BLM,CA,,https://www.blm.gov/programs/national-conservation-lands/california/king-range-national-conservation-area
,,Kings Canyon,NP,NPS,CA,,https://www.nps.gov/seki/
,,King’s Mountain,NMP,NPS,SC,,https://www.nps.gov/kimo/
,,Klondike Gold Rush,NHP,NPS,"AK, WA",,https://www.nps.gov/klse/
,,Knife River Indian Villages,NHS,NPS,ND,,https://www.nps.gov/knri/
,,Kobuk Valley,NP,NPS,AK,,https://www.nps.gov/kova/
,,Korean War Veterans,NMEM,NPS,DC,,https://www.nps.gov/kowa/
,,Lake Chelan,NRA,NPS,WA,,https://www.nps.gov/lach/
,,Lake Clark,NP,NPS,AK,,https://www.nps.gov/lacl/
,,Lake Clark,NPRES,NPS,AK,,https://www.nps.gov/lacl/
,,Lake Mead,NRA,NPS,"NV, AZ",,https://www.nps.gov/lame/
,,Lake Meredith,NRA,NPS,TX,,https://www.nps.gov/lamr/
,,Lake Roosevelt,NRA,NPS,WA,,https://www.nps.gov/laro/
,,Las Cienegas,NCA,BLM,AZ,,https://www.blm.gov/visit/las-cienegas
,,Lassen Volcanic,NP,NPS,CA,,https://www.nps.gov/lavo/
,,Lava Beds,NM,NPS,CA,,https://www.nps.gov/labe/
,,Lewis and Clark,NHP,NPS,"OR, WA",,https://www.nps.gov/lewi/
,,Lincoln Boyhood,NMEM,NPS,IN,,https://www.nps.gov/libo/
,,Lincoln Home,NHS,NPS,IL,,https://www.nps.gov/liho/
,,Lincoln Memorial,NMEM,NPS,DC,,https://www.nps.gov/linc/
,,Little Bighorn Battlefield,NM,NPS,MT,,https://www.nps.gov/libi/
,,Little River Canyon,NPRES,NPS,AL,,https://www.nps.gov/liri/
,,Little Rock Central High School,NHS,NPS,AR,,https://www.nps.gov/chsc/
,,Longfellow – Washington’s Headquarters,NHS,NPS,MA,,https://www.nps.gov/long/
,,Lowell,NHP,NPS,MA,,https://www.nps.gov/lowe/
,,Lyndon B. Johnson,NHP,NPS,TX,,https://www.nps.gov/lyjo/
,,Lyndon Baines Johnson Memorial Grove on the Potomac,NMEM,NPS,VA,,https://www.nps.gov/lyba/
,,Maggie L. Walker,NHS,NPS,VA,,https://www.nps.gov/mawa/
,,Mammoth Cave,NP,NPS,KY,,https://www.nps.gov/maca/
,,Manassas,NBP,NPS,VA,,https://www.nps.gov/mana/
,,Manhattan Project,NHP,NPS,"TN, NM, WA",,https://www.nps.gov/mapr/
,,Manzanar,NHS,NPS,CA,,https://www.nps.gov/manz/
,,Marsh-Billings-Rockefeller,NHP,NPS,VT,,https://www.nps.gov/mabi/
,,"Martin Luther King, Jr.",NMEM,NPS,DC,,https://www.nps.gov/mlkm
,,"Martin Luther King, Jr.",NHS,NPS,GA,,https://www.nps.gov/malu/
,,Martin Van Buren,NHS,NPS,NY,,https://www.nps.gov/mava/
,,Mary McLeod Bethune Council House,NHS,NPS,DC,,https://www.nps.gov/mamc/
,,McInnis Canyons,NCA,BLM,CO,,https://www.blm.gov/programs/national-conservation-lands/colorado/mcinnis-canyons
,,Mesa Verde,NP,NPS,CO,,https://www.nps.gov/meve/
,,Middle Delaware,NSR,NPS,"PA, NJ",,https://www.nps.gov/DEWA/
,,Military Working Dog Teams,NM,Air Force,TX,,https://myairmanmuseum.org/military-working-dogs/
,,Mill Springs Battlefield,NM,NPS,KY,,https://nps.gov/misp
,,Minidoka,NHS,NPS,"ID, WA",,https://www.nps.gov/miin/
,,Minute Man,NHP,NPS,MA,,https://www.nps.gov/mima/
,,Minuteman Missile,NHS,NPS,SD,,https://www.nps.gov/mimi/
,,Mississippi,NRRA,NPS,MN,,https://www.nps.gov/miss/
,,Missouri,NRR,NPS,"SD, NE",,https://www.nps.gov/mnrr/
,,Misty Fjords,NM,USFS,AK,,https://www.fs.fed.us/visit/destination/misty-fjords-national-monument
,,Mojave,NPRES,NPS,CA,,https://www.nps.gov/moja/
,,Mojave Trails,NM,BLM,CA,,https://www.blm.gov/programs/national-conservation-lands/california/mojave-trails-national-monument
,,Monocacy,NB,NPS,MD,,https://www.nps.gov/mono/
,,Montezuma Castle,NM,NPS,AZ,,https://www.nps.gov/moca/
,,Moores Creek,NB,NPS,NC,,https://www.nps.gov/mocr/
,,Morley Nelson Snake River Birds of Prey,NCA,BLM,ID,,https://www.blm.gov/programs/national-conservation-lands/idaho/morley-nelson-snake-river-birds-of-prey
,,Morristown,NHP,NPS,NJ,,https://www.nps.gov/morr/
,,Mount Rainier,NP,NPS,WA,,https://www.nps.gov/mora/
,,Mount Rushmore,NMEM,NPS,SD,,https://www.nps.gov/moru/
,,Mount St. Helens,NVM,USFS,WA,,https://www.fs.usda.gov/visit/national-monuments/mount-st-helens
,,Muir Woods,NM,NPS,CA,,https://www.nps.gov/muwo/
,,Natchez,NHP,NPS,MS,,https://www.nps.gov/natc/
,,Natchez Trace,NST,NPS,"MS, AL, TN",,https://www.nps.gov/natt/
,,Natchez Trace,PKWY,NPS,"MS, AL, TN",,https://www.nps.gov/natr/
,,National Capital Parks,P,NPS,"DC, MD",,https://www.nps.gov/nace/
,,National Mall,–,NPS,DC,,https://www.nps.gov/mall/
,,Natural Bridges,NM,NPS,UT,,https://www.nps.gov/nabr/
,,Navajo,NM,NPS,AZ,,https://www.nps.gov/nava/
,,New Bedford Whaling,NHP,NPS,MA,,https://www.nps.gov/nebe/
,,New England,NST,NPS,"MA, CT",,https://www.nps.gov/neen/
,,New Orleans Jazz,NHP,NPS,LA,,https://www.nps.gov/jazz/
,,New Philadelphia,NHS,NPS,IL,,https://www.nps.gov/neph/
,,New River Gorge,NR,NPS,WV,,https://www.nps.gov/neri/
,,Newberry,NVM,USFS,OR,,https://www.fs.usda.gov/recarea/deschutes/recarea/?recid=66159
,,Nez Perce,NHP,NPS,"ID, MT, OR, WA",,https://www.nps.gov/nepe/
,,Nicodemus,NHS,NPS,KS,,https://www.nps.gov/nico/
,,Ninety-Six,NHS,NPS,SC,,https://www.nps.gov/nisi/
,,Niobrara,NSR,NPS,NE,,https://www.nps.gov/niob/
,,Noatak,NPRES,NPS,AK,,https://www.nps.gov/noat/
,,North Cascades,NP,NPS,WA,,https://www.nps.gov/noca/
,,North Country,NST,NPS,"VT, NY, PA, OH, MI, WI, MN, ND",,https://www.nps.gov/noco
,,Obed,WSR,NPS,TN,,https://www.nps.gov/obed/
